code,name,label,type_cd,display_order
11,beijing,北京,municipality,3
12,tianjing,天津,municipality,19
13,hebei,河北,province,13
14,shanxi,山西,province,16
15,neimenggu,内蒙古,province,14
21,liaoning,辽宁,province,11
22,jilin,吉林,province,15
23,helongjiang,黑龙江,province,21
31,shanghai,上海,municipality,2
32,jiangsu,江苏,province,4
33,zhejiang,浙江,province,6
34,anhui,安徽,province,1
35,fujian,福建,province,8
36,jiangxi,江西,province,10
37,shandong,山东,province,5
41,henan,河南,province,9
42,hubei,湖北,province,12
43,hunan,湖南,province,17
44,guangdong,广东,province,18
45,guangxi,广西,province,26
46,hainan,海南,province,27
50,chongqing,重庆,municipality,23
51,sichuan,四川,province,24
52,guizhou,贵州,province,22
53,yunnan,云南,province,25
54,xizang,西藏,province,28
61,shaanxi,陕西,province,20
62,gansu,甘肃,province,7
63,qinghai,青海,province,28
64,ningxia,宁夏,province,28
65,xinjiang,新疆,province,28
71,taiwan,台湾,other,28
81,xianggang,香港,other,28
82,aomen,澳门,other,28
